#id arrival runtime priority
1	11	13	1
2	11	3	3
3	20	10	4
4	25	15	0
5	35	20	4
6	43	26	1
7	52	0	7
8	58	19	10
9	58	0	4
10	58	18	1
11	66	29	8
12	73	1	7
13	73	27	6
14	75	11	9
15	76	18	6
16	81	4	2
17	85	27	3
18	85	22	0
19	95	3	10
20	96	19	4
21	97	13	7
22	106	16	9
23	109	1	8
24	118	25	0
25	123	24	5
26	133	19	3
27	143	12	10
28	145	27	10
29	148	26	8
30	148	2	8
31	152	9	2
32	153	0	6
33	163	21	7
34	168	24	9
35	174	14	3
36	183	5	1
37	184	23	3
38	193	9	5
39	199	25	5
40	202	11	3
41	211	1	3
42	212	1	0
43	217	5	1
44	218	10	9
45	227	20	0
46	228	7	9
47	230	21	7
48	235	5	6
49	244	11	6
50	245	20	7
51	249	28	1
52	257	3	5
53	265	6	6
54	274	8	10
55	281	5	1
56	287	13	7
57	289	20	4
58	296	2	9
59	299	15	6
60	306	17	7
61	309	4	5
62	311	0	2
63	316	11	4
64	325	0	8
65	334	11	7
66	342	22	6
67	346	8	8
68	354	15	2
69	359	13	3
70	359	27	5
71	364	24	1
72	364	3	3
73	364	5	1
74	369	25	8
75	369	7	9
76	374	9	2
77	375	1	9
78	384	17	0
79	393	12	3
80	394	11	5
81	400	13	6
82	406	7	9
83	415	26	5
84	425	9	2
85	430	8	5
86	432	7	4
87	436	10	7
88	436	0	7
89	437	17	0
90	441	8	3
91	448	4	1
92	448	18	8
93	456	4	5
94	458	2	4
95	460	14	4
96	468	12	9
97	478	19	2
98	484	27	4
99	486	0	4
100	488	3	3
101	492	2	6
102	497	29	5
103	498	12	2
104	502	8	7
105	508	6	5
